sample,encoder,seed,split_axis,split_side,ratio,model,gene_set,n_train,n_test,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro,species,organ,condition
FFHO026,conch,2,x,low,0.1,train_mean,marker_hvg_overlap,891,2400,194,-5.830366118877965e-07,,-0.0489592069110885,0.5620738863945007,0.4389571249485016,0.4926165064907334,0.3762886597938144,0.6237113402061856,0.5,0.2626020896305384,0.3656636597938144,human,ovary,ovarian adenocarcinoma
FFHO026,conch,2,x,low,0.1,coordinate,top50_hvg,891,2400,50,0.0219938758772332,0.0249831818017284,-0.1465874723438173,0.833260715007782,0.6696119904518127,0.4280562417829054,0.8970350010965729,0.1093774650502878,0.5032062330734304,0.6884529496176915,0.5955743589544789,human,ovary,ovarian adenocarcinoma
FFHO026,conch,2,x,low,0.1,coordinate,top200_hvg,891,2400,200,-0.0002373030348098,0.0007672378279921,-0.0861285101599151,0.5713156461715698,0.4385844469070434,0.4963775968233203,0.4132152868023279,0.5848473956358535,0.4990313412190907,0.2996217154812502,0.3612618342706773,human,ovary,ovarian adenocarcinoma
FFHO026,conch,2,x,low,0.1,coordinate,marker_hvg_overlap,891,2400,194,-7.639935128534808e-05,0.0010775297744161,-0.0867701390057358,0.575630247592926,0.4421517252922058,0.4962362502791093,0.4190685946415752,0.5796201599160952,0.4993443772788351,0.304391293042238,0.3655157124905046,human,ovary,ovarian adenocarcinoma
FFHO026,conch,2,x,low,0.1,image,top50_hvg,891,2400,50,0.3035048165917396,0.3028442400822395,0.0049342041835188,0.7589460611343384,0.5912596583366394,0.4767523803921303,0.7933533880040875,0.3806853805156269,0.5870193842598572,0.7128973831058086,0.6988687951517868,human,ovary,ovarian adenocarcinoma
FFHO026,conch,2,x,low,0.1,image,top200_hvg,891,2400,200,0.1751195343327708,0.1743920152013468,-0.098087793411687,0.550851047039032,0.4086130559444427,0.4841746915856861,0.4045995853959754,0.6967738944060115,0.5506867399009935,0.4003468213940641,0.4311264195158547,human,ovary,ovarian adenocarcinoma
FFHO026,conch,2,x,low,0.1,image,marker_hvg_overlap,891,2400,194,0.176165383522754,0.1754209120355144,-0.0963147684413286,0.5545961856842041,0.4118154644966125,0.4854259350838116,0.4101451207825693,0.6915686302833067,0.550856875532938,0.4047456971000036,0.4353975209631924,human,ovary,ovarian adenocarcinoma
FFHO026,conch,2,x,low,0.1,spatial_knn,top50_hvg,891,2400,50,0.0640155303664505,0.0627711366660402,-0.1915121256653219,0.8416714668273926,0.6706458926200867,0.4117370691282387,0.837581140292224,0.1856703506199032,0.5116257454560637,0.6833848564644649,0.6073836914303867,human,ovary,ovarian adenocarcinoma
FFHO026,conch,2,x,low,0.1,spatial_knn,top200_hvg,891,2400,200,0.0212537162122316,0.0224253783651172,-0.1684248114028014,0.5851299166679382,0.4378469288349151,0.4677404186965561,0.3940443235197524,0.6141804770112725,0.5041124002655125,0.3258260370031218,0.3691485627354333,human,ovary,ovarian adenocarcinoma
FFHO026,conch,2,x,low,0.1,spatial_knn,marker_hvg_overlap,891,2400,194,0.02286320575993,0.0241303234898719,-0.1668177883635208,0.5892266631126404,0.4407845437526703,0.4685144309906329,0.3986844752281904,0.6106309781806081,0.5046577267043993,0.330625756644511,0.3738250315439366,human,ovary,ovarian adenocarcinoma
FFHO026,conch,2,x,low,0.25,train_mean,top50_hvg,2228,2400,50,-8.646413267361284e-07,,-0.0729708178893633,0.8033853769302368,0.647513747215271,0.4110304016133403,0.94,0.06,0.5,0.6947522604162747,0.5892000000000001,human,ovary,ovarian adenocarcinoma
