sample,species,organ,condition,model,pearson_gene_macro,spearman_gene_macro,f1_gene_macro,auprc_gene_macro,n_genes
HTDX008,human,tonsil,reactive follicular hyperplasia,image,0.2041915702190139,0.16340281951435945,0.148153804002411,0.2591350877286269,185.75
HTDX008,human,tonsil,reactive follicular hyperplasia,spatial_knn,0.009036372875653476,0.007099348708677875,0.08792424688043338,0.15483776407015476,185.75
HTDX008,human,tonsil,reactive follicular hyperplasia,train_mean,6.4580984074066e-08,,0.0414822188573916,0.14918440612996686,185.75
MBDC037,mouse,bone,femur,coordinate,0.05906158925515713,0.05926912588806237,0.07581191441009545,0.19176676557476843,156.5
MBDC037,mouse,bone,femur,image,0.010926806508498919,0.014178204136652835,0.049817831160141005,0.16015293548670786,156.5
MBDC037,mouse,bone,femur,spatial_knn,0.029529454222427073,0.0315471981506735,0.10772999434516518,0.17119210089914894,156.5
MBDC037,mouse,bone,femur,train_mean,1.4842746916686175e-08,,0.044337540639516074,0.15483020816320972,156.5
PCHM006,human,pancreas,pancreatic cancer,coordinate,0.0809697883700547,0.07016514666787518,0.20433639249633473,0.3091863551245776,188.5
PCHM006,human,pancreas,pancreatic cancer,image,0.26829380034451766,0.2396065061368431,0.2908843693760971,0.40472233325210827,188.5
PCHM006,human,pancreas,pancreatic cancer,spatial_knn,0.04393695531446682,0.037015756570952824,0.22260535171018744,0.2930707942592627,188.5
PCHM006,human,pancreas,pancreatic cancer,train_mean,8.141997091352163e-08,,0.15864715305465726,0.276430034311794,188.5
PDHL031,human,lymph_node,reactive lymph node,coordinate,0.028456166525051726,0.025860981887757675,0.00033407802736305,0.10339905110924838,168.25
PDHL031,human,lymph_node,reactive lymph node,image,0.0901085197332042,0.08544356471557316,0.007232751144491725,0.12977432924057186,168.25
PDHL031,human,lymph_node,reactive lymph node,spatial_knn,0.00854445305718235,0.008361397478530075,0.012828463039592074,0.09717986178386767,168.25
PDHL031,human,lymph_node,reactive lymph node,train_mean,-6.561189482008015e-08,,0.0,0.09376982292547192,168.25
PDHP030,human,prostate,prostate,coordinate,-0.0087213414193298,-0.01126648581088385,0.005321073734464175,0.06747404292838563,159.0
PDHP030,human,prostate,prostate,image,0.15013031528473034,0.14132434142650885,0.02507218267210805,0.13671983916103223,159.0
PDHP030,human,prostate,prostate,spatial_knn,0.011490581261046325,0.011960148175797826,0.0176619330311492,0.07077864586414243,159.0
PDHP030,human,prostate,prostate,train_mean,3.227731962017339e-08,,0.0,0.0666960212289029,159.0
PDHS029,human,skin,skin,coordinate,-0.056555670326463324,-0.06021344799273275,0.0623209752080244,0.1320579595378341,199.0
PDHS029,human,skin,skin,image,0.1786657371150572,0.1608715799619803,0.10967124056007659,0.22902730312207942,199.0
PDHS029,human,skin,skin,spatial_knn,0.015217429766644799,0.01552131872432475,0.0658555217363018,0.14704643802224157,199.0
PDHS029,human,skin,skin,train_mean,7.596233153785013e-08,,0.034539585260147526,0.1392420477054585,199.0
WMPP017,mouse,whole_pup,whole pup,coordinate,0.04812575573662532,0.0429290425555549,0.13483705440347088,0.1984357961659531,144.75
WMPP017,mouse,whole_pup,whole pup,image,0.28580128516458714,0.21537616523829897,0.3107268371132765,0.3440368886864314,144.75
WMPP017,mouse,whole_pup,whole pup,spatial_knn,0.06195436666188923,0.05330080087370787,0.1881753800318028,0.201419523429839,144.75
WMPP017,mouse,whole_pup,whole pup,train_mean,2.1386028370874838e-08,,0.08748533478910765,0.1736467164026854,144.75
WMPW025,mouse,whole_pup,whole pup,coordinate,0.03685649498294893,0.03271483772896827,0.020572483818184,0.12734289416014194,197.25
WMPW025,mouse,whole_pup,whole pup,image,0.14768391226250374,0.1265800352616201,0.06359075858693905,0.18968788150415106,197.25
WMPW025,mouse,whole_pup,whole pup,spatial_knn,0.027543632527732398,0.0266100094376219,0.03546801233204462,0.12008065443122161,197.25
WMPW025,mouse,whole_pup,whole pup,train_mean,-1.9015684717526346e-08,,0.00324795675730585,0.10992523853167885,197.25
XTNL005,human,lung,lung cancer,coordinate,0.0443138453320756,0.0428423007737722,0.06903834876556215,0.17574702320985272,185.25
XTNL005,human,lung,lung cancer,image,0.256730889338493,0.21541848349386164,0.20166676995947969,0.30087298324609035,185.25
XTNL005,human,lung,lung cancer,spatial_knn,0.023661143642664827,0.025899198511249878,0.12010671541547133,0.16553245783785003,185.25
XTNL005,human,lung,lung cancer,train_mean,-2.1588375546235085e-08,,0.027311191679097027,0.15490769541206592,185.25
