sample,encoder,seed,split_axis,split_side,model,gene_set,n_train_cells,n_test_cells,coordinate_units_per_micron,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro
FFMB028,conch,1,y,high,cell_image,top50_hvg,8964,2400,4.705882,50,0.4431239891052246,0.4430761848907011,0.1718999301083386,0.625953733921051,0.501946210861206,0.5416861213757337,0.8522685913800622,0.4022077468033129,0.6272381690916875,0.7426334486192752,0.7520160490624153
FFMB028,conch,1,y,high,cell_image,top200_hvg,8964,2400,4.705882,200,0.3148390697478316,0.3103583880133486,0.0693371225800365,0.4748578071594238,0.3704170286655426,0.5200519378683071,0.4641482491723903,0.7228077073073078,0.593477978239849,0.4543828513778358,0.5161287373119658
FFMB028,conch,1,y,high,train_mean,top50_hvg,8964,2400,4.705882,50,9.423083130855048e-07,,-0.0202175259511568,0.7136894464492798,0.5993456244468689,0.4862788697043913,0.94,0.06,0.5,0.6947015085541323,0.5735416666666666
FFMB028,conch,1,y,high,train_mean,top200_hvg,8964,2400,4.705882,200,-1.8755096074407617e-07,,-0.0197169334557383,0.5157646536827087,0.4197737574577331,0.4903137719718256,0.285,0.715,0.5,0.2053720429735011,0.366925
FFMB028,conch,1,y,high,pseudo_spot_8um,top50_hvg,8964,2400,4.705882,50,0.4430770376324653,0.4428623291872672,0.1707941889902576,0.6261346340179443,0.5021584630012512,0.5417309541276588,0.8545479845679458,0.3987577176970104,0.6266528511324784,0.7429869439067744,0.7517727769796193
FFMB028,conch,1,y,high,pseudo_spot_8um,top200_hvg,8964,2400,4.705882,200,0.3148566036741249,0.3101762502392696,0.0684314465138595,0.4749900698661804,0.3708680272102356,0.5202785806838823,0.4677960947955189,0.7195860041554881,0.5936910494755036,0.4564266145865677,0.516004986495485
FFMB028,conch,1,y,high,pseudo_spot_16um,top50_hvg,8964,2400,4.705882,50,0.4383095484972,0.4385297384866568,0.1653360197227448,0.6280672550201416,0.5041233897209167,0.5407983810896858,0.8597529778020393,0.3906067507956263,0.6251798642988329,0.7435910208279082,0.7497446454395118
FFMB028,conch,1,y,high,pseudo_spot_16um,top200_hvg,8964,2400,4.705882,200,0.3104018351482227,0.3062633971199934,0.0638139332371065,0.4761111140251159,0.3723379373550415,0.5195710399346956,0.4710484745930696,0.7147155455634464,0.5928820100782581,0.4569003124708649,0.5133905842972073
FFMB028,conch,1,y,high,pseudo_spot_55um,top50_hvg,8964,2400,4.705882,50,0.3613600167632103,0.3577601185990983,0.1031999338790774,0.654608964920044,0.5291743278503418,0.5324726911480615,0.8745838553274399,0.330799166365547,0.6026915108464934,0.7365457726486717,0.712951196993023
FFMB028,conch,1,y,high,pseudo_spot_55um,top200_hvg,8964,2400,4.705882,200,0.2436051709204912,0.2392428208128426,0.0242516724695451,0.4900608658790588,0.3865312039852142,0.5131351738267993,0.4337418688565055,0.6995810154252246,0.566661442140865,0.4091751574469047,0.4742626114653386
FFMB028,conch,2,x,low,cell_image,top50_hvg,9008,2400,4.705882,50,0.487639847099781,0.4892331608865818,0.2252381458878517,0.6319064497947693,0.508664071559906,0.5494386240431942,0.8759263441169497,0.3575544023552869,0.6167403732361183,0.7529137075854596,0.7791161386066762
FFMB028,conch,2,x,low,cell_image,top200_hvg,9008,2400,4.705882,200,0.354141441937536,0.35385822185561,0.1187168665521312,0.4860239028930664,0.3815265893936157,0.5266546970410846,0.5079760186040096,0.7000195246472842,0.6039977716256469,0.4877432719139143,0.5539961251913108
FFMB028,conch,2,x,low,train_mean,top50_hvg,9008,2400,4.705882,50,8.004085506030378e-07,,-0.0459173667475397,0.7611768245697021,0.6329820156097412,0.4731012359451378,0.94,0.06,0.5,0.7035273790966324,0.5856583333333333
FFMB028,conch,2,x,low,train_mean,top200_hvg,9008,2400,4.705882,200,4.220784665642796e-07,,-0.0277933323585295,0.5492356419563293,0.4380355179309845,0.4867873476234127,0.275,0.725,0.5,0.2017539567478403,0.384225
FFMB028,conch,2,x,low,pseudo_spot_8um,top50_hvg,9008,2400,4.705882,50,0.4856029525399208,0.4869532513493876,0.2220660829544067,0.6331352591514587,0.5098778009414673,0.549746890312636,0.8781511710801098,0.3496096083241217,0.6138803897021159,0.7521961280849151,0.7780798619516232
