encoder,species,organ,target,train_samples,seed,ratio,model,gene_set,n_train,n_test,n_shared_genes,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro
conch,human,ovary,HOCD032,FFHO026;HOCW023,1,0.25,train_mean,top50_hvg,6000,12000,352,50,-1.1482403973772648e-06,,-1.8694892990222436,0.464765340089798,0.38996022939682,0.1059826476479712,0.32,0.68,0.5,0.1141501609204842,0.2025833333333333
conch,human,ovary,HOCD032,FFHO026;HOCW023,1,0.25,train_mean,top200_hvg,6000,12000,352,200,-3.815901381776926e-07,,-0.625927674706436,0.3134563267230987,0.1889306753873825,0.1868091433110239,0.08,0.92,0.5,0.028537540230121,0.1107729166666666
conch,human,ovary,HOCD032,FFHO026;HOCW023,1,0.25,train_mean,marker_hvg_overlap,6000,12000,352,186,-4.49899255442921e-07,,-0.6607886586994761,0.308094173669815,0.1883537918329239,0.1980282260316467,0.086021505376344,0.913978494623656,0.5,0.0306855271291624,0.1069977598566308
conch,human,ovary,HOCD032,FFHO026;HOCW023,1,1.0,image,top50_hvg,24000,12000,352,50,0.0177881270973011,0.0223484183467549,-0.8719013038370759,0.4345466792583465,0.3047730922698974,0.1039652912427116,0.1353663455377163,0.8665680809265706,0.5009672132321434,0.0914179528502333,0.2054706241402119
conch,human,ovary,HOCD032,FFHO026;HOCW023,1,1.0,image,top200_hvg,24000,12000,352,200,0.0290989429106412,0.0304659188203453,-0.3483178357663564,0.3040239810943603,0.154372438788414,0.1722749579854232,0.0340590465911436,0.9665715045326518,0.5003152755618978,0.0232468833316185,0.1206087408181117
conch,human,ovary,HOCD032,FFHO026;HOCW023,1,1.0,image,marker_hvg_overlap,24000,12000,352,186,0.0256169125716569,0.0269236628523558,-0.3608482595137571,0.2972011268138885,0.1528323888778686,0.1749984670309683,0.0366204363170076,0.9640773409331862,0.5003488886250969,0.0249922874830098,0.1149504041140795
conch,human,ovary,HOCD032,FFHO026;HOCW023,1,1.0,train_mean,top50_hvg,24000,12000,352,50,-1.9590082558806898e-07,,-1.9117358771599535,0.4675646126270294,0.3927176296710968,0.1064549768259198,0.32,0.68,0.5,0.1141501609204842,0.2025833333333333
conch,human,ovary,HOCD032,FFHO026;HOCW023,1,1.0,train_mean,top200_hvg,24000,12000,352,200,-3.104777002774521e-09,,-0.6374741312145187,0.3144621849060058,0.1899715214967727,0.1870228894276207,0.08,0.92,0.5,0.028537540230121,0.1107729166666666
conch,human,ovary,HOCD032,FFHO026;HOCW023,1,1.0,train_mean,marker_hvg_overlap,24000,12000,352,186,5.509376840625909e-08,,-0.6729650384488302,0.309241771697998,0.1894025951623916,0.1980846067938236,0.086021505376344,0.913978494623656,0.5,0.0306855271291624,0.1069977598566308
conch,human,ovary,HOCD032,FFHO026;HOCW023,2,0.1,image,top50_hvg,2400,12000,352,50,0.033783417167142,0.0331099881560209,-1.28846003562212,0.442188411951065,0.3233811855316162,0.0909151759672818,0.1686066051406472,0.838597696229558,0.5036021506851027,0.1194872247876072,0.2136479386483022
conch,human,ovary,HOCD032,FFHO026;HOCW023,2,0.1,image,top200_hvg,2400,12000,352,200,0.0244724621855129,0.0239096989588396,-0.6188767125643789,0.3110951483249664,0.1719671040773391,0.149519132405687,0.0432893193151553,0.9590454515181652,0.5011673854166604,0.0315814663605771,0.1198885016846791
conch,human,ovary,HOCD032,FFHO026;HOCW023,2,0.1,image,marker_hvg_overlap,2400,12000,352,186,0.0227631931041394,0.0222309593778543,-0.6402889126611333,0.3050218224525451,0.1705779582262039,0.1510916938400573,0.0464084604563163,0.9561447558804032,0.5012766081683598,0.0336987520099003,0.1150404574227972
conch,human,ovary,HOCD032,FFHO026;HOCW023,2,0.1,train_mean,top50_hvg,2400,12000,352,50,6.911207734106028e-07,,-2.001171732355506,0.4702536463737488,0.3955551087856293,0.1020804745121239,0.3,0.7,0.5,0.10863787467246,0.2025833333333333
