sample,encoder,method,seed,split_axis,split_side,gene_set,n_train,n_test,top_k,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro,ridge_pearson_gene_macro,ridge_f1_gene_macro,pearson_difference_bleep_minus_ridge,f1_difference_bleep_minus_ridge
HOCD032,conch,bleep_conch_adapter,0,x,high,top50_hvg,8690,2400,50,50,0.3803481777571141,0.3806229887085479,0.0949256311636418,0.440211147069931,0.2958664000034332,0.3435521837770622,0.2383432793366613,0.9214166811139288,0.5798799802252951,0.2591663869252791,0.4869411007640182,0.4118812544643879,0.456918542833982,-0.03153307670727379,-0.19775215590870288
HOCD032,conch,bleep_conch_adapter,1,y,high,top50_hvg,8963,2400,50,50,0.2464586570230312,0.2282649659866742,-0.0862024840246886,0.5477936267852783,0.3968649208545685,0.4176158531364537,0.217440586240039,0.8923591931142962,0.5548998896771677,0.2398063185970373,0.5331979255630962,0.2972647066414356,0.4968082836652971,-0.0508060496184044,-0.2570019650682598
HOCD032,conch,bleep_conch_adapter,2,x,low,top50_hvg,8858,2400,50,50,0.2097809764370322,0.2121728122640078,-0.3252369123487733,0.4279601573944092,0.3360567092895508,0.2277861070019229,0.3998063143648326,0.7393003793653007,0.5695533468650666,0.2638480934277802,0.3046589480217888,0.2198411913216114,0.2693180279989545,-0.0100602148845792,-0.005469934571174284
HOCD032,conch,bleep_conch_adapter,3,y,low,top50_hvg,8914,2400,50,50,0.3158118253946304,0.2994378277713923,-0.0763031657319515,0.381328821182251,0.2722502052783966,0.2449386491233671,0.339587568613158,0.8454324506974583,0.5925100096553082,0.2952726456718771,0.3692925199033186,0.3205428468436003,0.3341868313211668,-0.004731021448969919,-0.03891418564928967
HOCW023,conch,bleep_conch_adapter,0,x,high,top50_hvg,9002,2400,50,50,0.2026115059514995,0.193507233879507,-0.0219129881553817,0.3199422955513,0.1936822980642318,0.2120333359557148,0.0668778053126147,0.972046714641098,0.5194622599768564,0.0766770948111344,0.253830890929924,0.2400244046747684,0.1184275431178947,-0.03741289872326892,-0.04175044830676031
HOCW023,conch,bleep_conch_adapter,1,y,high,top50_hvg,8977,2400,50,50,0.0764084234228357,0.0650724253188472,-0.0579535058402689,0.2037819772958755,0.0952847078442573,0.2367780845146595,0.0234906230684387,0.9853491960659428,0.5044199095671907,0.0198527957001559,0.0881423523221247,0.1139858138933777,0.0253913477485609,-0.037577390470541996,-0.005538552048404997
HOCW023,conch,bleep_conch_adapter,2,x,low,top50_hvg,8927,2400,50,50,0.0550112710846588,0.0455630847265649,-0.1033667930634692,0.2166239470243454,0.1090753227472305,0.2270463634031368,0.013905307130679,0.991460586895443,0.502682947013061,0.0157773729297036,0.0848563571336171,0.0641450800700113,0.0200872820606302,-0.009133808985352494,-0.0043099091309266
HOCW023,conch,bleep_conch_adapter,3,y,low,top50_hvg,8955,2400,50,50,0.2872755524888635,0.2854388707032276,0.0293405284360051,0.3459885120391845,0.2394583523273468,0.2834280647144463,0.266069085290806,0.8848418120212835,0.5754554486560447,0.2036425435994912,0.3162150211915086,0.3333851943165064,0.1473290529873478,-0.04610964182764288,0.056313490612143385
HPDA034,conch,bleep_conch_adapter,0,x,high,top50_hvg,8925,2400,50,50,0.3733631826628698,0.2586442270283669,0.0309786674007773,0.4125624895095825,0.2712475657463074,0.3072253419131995,0.2814768320595914,0.8911670813841297,0.5863219567218606,0.2854933839062495,0.3861856920865534,0.3434495908021927,0.3405073305526123,0.029913591860677102,-0.05501394664636278
HPDA034,conch,bleep_conch_adapter,1,y,high,top50_hvg,8869,2400,50,50,0.3809001412149518,0.3549637853455406,-0.0855216312187258,0.5126651525497437,0.358908087015152,0.4103593383373282,0.5219517805246009,0.7531825166905868,0.637567148607594,0.4530334615271822,0.4803645098381101,0.3974425084702671,0.4626903696812775,-0.01654236725531527,-0.009656908154095312
