sample,encoder,seed,split_axis,split_side,model,gene_set,n_train_cells,n_test_cells,coordinate_units_per_micron,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro
HHDX011,conch,3,y,low,cell_image,top50_hvg,19279,5274,1.0,50,0.2799432308599353,0.2519073898269616,0.0518801497016102,0.4459728300571441,0.3333324491977691,0.7509296547823207,0.2640260725482256,0.8468924752979154,0.5554592739230705,0.2900368305746849,0.4445291457546907
HHDX011,conch,3,y,low,cell_image,top200_hvg,19279,5274,1.0,200,0.1324406378844287,0.1168700389797705,-0.0443721529630602,0.2676774859428406,0.1375588327646255,0.7408744202552437,0.0661710530207773,0.9616604483432164,0.5139157506819968,0.0728149459184452,0.1723985093405675
HHDX011,conch,3,y,low,train_mean,top50_hvg,19279,5274,1.0,50,-7.382698349722716e-07,,-0.0338849083939203,0.49970144033432,0.3690606951713562,0.732499855268346,0.18,0.82,0.5,0.1510600939736467,0.3353811149032992
HHDX011,conch,3,y,low,train_mean,top200_hvg,19279,5274,1.0,200,-2.0769129545739066e-07,,-0.0114411864159157,0.2904790639877319,0.1445425897836685,0.7292129282312958,0.045,0.955,0.5,0.0377650234934116,0.1223824421691315
HHDX011,conch,3,y,low,pseudo_spot_8um,top50_hvg,19279,5274,1.0,50,0.2799432966858148,0.2519075121973846,0.0518804554501548,0.4459725022315979,0.3333323001861572,0.7509299356049415,0.2640260725482256,0.8468924752979154,0.5554592739230705,0.2900368305746849,0.4445289151204523
HHDX011,conch,3,y,low,pseudo_spot_8um,top200_hvg,19279,5274,1.0,200,0.1324406689533498,0.1168701602900178,-0.0443720986410608,0.267677366733551,0.1375588178634643,0.740874642861917,0.0661710530207773,0.9616604483432164,0.5139157506819968,0.0728149459184452,0.1723985328041241
HHDX011,conch,3,y,low,pseudo_spot_16um,top50_hvg,19279,5274,1.0,50,0.2799399226345122,0.2519048120414355,0.0518732139631174,0.4459745585918426,0.3333313465118408,0.7509263699060065,0.2640331739746848,0.8468507402788573,0.5554419571267711,0.2900466131576888,0.4445244948161747
HHDX011,conch,3,y,low,pseudo_spot_16um,top200_hvg,19279,5274,1.0,200,0.1324397007736843,0.116868284333419,-0.0443728406478658,0.2676781117916107,0.1375579088926315,0.7408715895774954,0.0661628283773921,0.9616500145884518,0.513906421482922,0.0727994188336371,0.1724006458311386
HHDX011,conch,3,y,low,pseudo_spot_55um,top50_hvg,19279,5274,1.0,50,0.279426516406238,0.2507224498444166,0.0528398295794613,0.4450003504753113,0.333638459444046,0.7508189477054237,0.2685868354841514,0.8409651437664273,0.5547759896252894,0.2931315477127882,0.4446014774287927
HHDX011,conch,3,y,low,pseudo_spot_55um,top200_hvg,19279,5274,1.0,200,0.1325082388779264,0.1165634571830747,-0.0325773954712349,0.267234593629837,0.1377664059400558,0.7410481667870251,0.0673385111966192,0.9601764296468488,0.5137574704217339,0.0736370883743167,0.1724874661811826
HLCX022,conch,0,x,high,cell_image,top50_hvg,112823,32451,1.0,50,0.3940675035119056,0.3853991543206593,0.1636696139350533,0.4529305696487427,0.319792240858078,0.4544212118968229,0.354021322208621,0.8796696641286073,0.616845493168614,0.3748691237019503,0.5005536197593318
HLCX022,conch,0,x,high,cell_image,top200_hvg,112823,32451,1.0,200,0.2475996026210487,0.2291251301807489,0.0698577278772427,0.3117205500602722,0.1728987544775009,0.4581028968158029,0.0926072171971506,0.9694021399120968,0.5310046785546236,0.100581455833746,0.2620928060002232
HLCX022,conch,0,x,high,train_mean,top50_hvg,112823,32451,1.0,50,2.144111425081974e-06,,-0.0104369955841684,0.5214608907699585,0.402782529592514,0.2549626213159233,0.18,0.82,0.5,0.1122422636447292,0.2788887861699177
