sample,species,organ,condition,model,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,pearson_cell_macro,f1_gene_macro,auprc_gene_macro
PCHM006,human,pancreas,pancreatic cancer,coordinate,0.08046042610949365,0.06933704751676265,-0.09556275958559123,0.44187982100121276,0.6249718618486773,0.5688717838381907
PCHM006,human,pancreas,pancreatic cancer,image,0.3662117096036672,0.34089070787268816,0.10366912142337238,0.5397277930599202,0.69377871817373,0.6915702354422217
PCHM006,human,pancreas,pancreatic cancer,spatial_knn,0.05144141436147035,0.046000624245263425,-0.1664007974016567,0.4020341264333076,0.5891094932924458,0.5639801356994814
PCHM006,human,pancreas,pancreatic cancer,train_mean,4.0982783922061117e-07,,-0.047697776230770574,0.4588556547576623,0.587505494966543,0.5450229166666667
PDHL031,human,lymph_node,reactive lymph node,coordinate,0.0433054268652631,0.0393221340964168,-0.04466326197070877,0.0775909209752851,0.0016256980576384,0.16354019097251082
PDHL031,human,lymph_node,reactive lymph node,image,0.14064221194945273,0.1310562785524295,0.007430762932635824,0.16444719461850935,0.02331451460731325,0.21178428937288102
PDHL031,human,lymph_node,reactive lymph node,spatial_knn,0.012761214765123425,0.01196365508128355,-0.1563424760755151,0.050157187560152444,0.045427341462359924,0.1545682964073543
PDHL031,human,lymph_node,reactive lymph node,train_mean,-2.7363710864640598e-08,,-0.013317399386926325,0.11540589937874293,0.0,0.14881666666666665
PDHP030,human,prostate,prostate,coordinate,-0.01537751553190905,-0.01911042217057395,-0.17042562579426884,0.1733973450663796,0.016971977531106224,0.1251180410380058
PDHP030,human,prostate,prostate,image,0.26266290977597234,0.24385994069649905,0.060079126447089924,0.2629986236447628,0.08279676073460043,0.27064802262692156
PDHP030,human,prostate,prostate,spatial_knn,0.024589988262499276,0.0254373968383023,-0.22019186334684487,0.11882199029494893,0.057119964698175575,0.13521418339939636
PDHP030,human,prostate,prostate,train_mean,1.3587538121941276e-08,,-0.01860399719070978,0.19165670482640235,0.0,0.12560833333333327
PDHS029,human,skin,skin,coordinate,-0.08643178295445678,-0.09220776212919152,-3.348772660484965,0.19135502597037574,0.22372847124499892,0.23496100680969934
PDHS029,human,skin,skin,image,0.28378849530906164,0.26005071455361994,-0.3179440377656046,0.31116130226270733,0.3686498706614492,0.40295214667806667
PDHS029,human,skin,skin,spatial_knn,0.03171214905830805,0.03021986515793945,-0.25702771198900165,0.20323502651529293,0.20742221571715228,0.2661410222281856
PDHS029,human,skin,skin,train_mean,-1.7188116120762472e-08,,-0.6934381019376066,0.24969292685173058,0.1374978692644132,0.2499053571428571
WMPP017,mouse,whole_pup,whole pup,coordinate,0.0605119669605483,0.05247468829978505,-7.933013698775903,0.2193795534018113,0.24218262325493528,0.31302937258576924
WMPP017,mouse,whole_pup,whole pup,image,0.3966113352187676,0.3102827564593623,-0.639932015165741,0.5717996772524522,0.4955818914113023,0.514106618916172
WMPP017,mouse,whole_pup,whole pup,spatial_knn,0.08240325229341139,0.07018530852837578,-0.6851879077078774,0.33812287730037843,0.3346416652631577,0.32215475614561273
WMPP017,mouse,whole_pup,whole pup,train_mean,2.3380555797457118e-08,,-0.46945136525729125,0.4083694103393755,0.26598254651744385,0.28484166666666666
WMPW025,mouse,whole_pup,whole pup,coordinate,0.0377570290333824,0.03311055470636612,-3.185394129490887,0.1194469699390999,0.07748310704102537,0.20521299541039115
WMPW025,mouse,whole_pup,whole pup,image,0.24601499880081973,0.20756571102409838,-0.23693830549425907,0.3475337139790381,0.21870121584876398,0.33103247225673244
WMPW025,mouse,whole_pup,whole pup,spatial_knn,0.04347060644420482,0.0411333581796343,-0.4851111701328773,0.13216066906604057,0.10767893782771251,0.19973725435490092
WMPW025,mouse,whole_pup,whole pup,train_mean,1.9877322330330584e-08,,-0.14511339146904104,0.23622040077960135,0.012814172927664201,0.18106874999999997
XTNL005,human,lung,lung cancer,coordinate,0.05383583946939323,0.053583609831541326,-0.3960444607251702,0.19478032745792911,0.21515043154878638,0.27576929207641315
XTNL005,human,lung,lung cancer,image,0.38986077458132057,0.3234548961034934,0.14227767887816298,0.35493636714952936,0.44392963806450014,0.48297187196308256
XTNL005,human,lung,lung cancer,spatial_knn,0.033124191317692744,0.03488258013660887,-0.19962252013385293,0.15076500245807195,0.27138879857977616,0.2675395741703105
XTNL005,human,lung,lung cancer,train_mean,1.4556958238820565e-09,,-0.13914998800968215,0.16743001486969675,0.1131091145709,0.25061666666666665
