sample,encoder,seed,split_axis,split_side,ratio,model,gene_set,n_train,n_test,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro
HHDX011,resnet50,1,y,high,0.05,train_mean,top50_hvg,447,2400,50,2.917890419951164e-07,,-0.1031420266321219,0.5923330187797546,0.4066446423530578,0.444589274109274,0.18,0.82,0.5,0.1210999915740229,0.2861083333333333
HHDX011,resnet50,1,y,high,0.05,train_mean,top200_hvg,447,2400,200,6.333692379110682e-08,,-0.035399383910194,0.3430512249469757,0.1587852537631988,0.4750922027758153,0.045,0.955,0.5,0.0302749978935057,0.1162083333333333
HHDX011,resnet50,1,y,high,0.05,train_mean,marker_hvg_overlap,447,2400,170,6.175761444644136e-08,,-0.0373151930191852,0.3523688614368438,0.1602640300989151,0.48577642211063,0.0411764705882352,0.9588235294117649,0.5,0.0281657714983354,0.1163480392156862
HHDX011,resnet50,1,y,high,0.05,coordinate,top50_hvg,447,2400,50,-0.0371863234008196,-0.0385819468481245,-0.2305924167437479,0.6473962068557739,0.4272196888923645,0.4270328235350895,0.3040351418608261,0.6929630053312741,0.4984990735960501,0.1808856283814444,0.2720791559875615
HHDX011,resnet50,1,y,high,0.05,coordinate,top200_hvg,447,2400,200,-0.014604853435733,-0.0151759361608337,-0.104762513172609,0.3690041601657867,0.1689120531082153,0.4585074982780794,0.0763121562517233,0.922522081256092,0.4994171187539078,0.0455799728324128,0.1141969163103254
HHDX011,resnet50,1,y,high,0.05,coordinate,marker_hvg_overlap,447,2400,170,-0.0144518714249354,-0.0144957811611029,-0.1028449141155065,0.3796437978744507,0.1682033389806747,0.468854973517952,0.0601837761539035,0.9388812486232536,0.4995325123885786,0.0387538405445188,0.1144761839918314
HHDX011,resnet50,1,y,high,0.05,image,top50_hvg,447,2400,50,0.1458718778402544,0.1479352289485029,-0.2218821349740028,0.5288162231445312,0.3805996179580688,0.4243467181754987,0.2946710568541447,0.7842824664310742,0.5394767616426095,0.2893799646073077,0.3505971097000135
HHDX011,resnet50,1,y,high,0.05,image,top200_hvg,447,2400,200,0.0461021966340246,0.0467715514880969,-0.2757351098884828,0.3262002766132355,0.1803393512964248,0.4378399428080876,0.0793380660428563,0.9418332768290542,0.5105856714359552,0.0815029769510138,0.1382524160698662
HHDX011,resnet50,1,y,high,0.05,image,marker_hvg_overlap,447,2400,170,0.0459896962800904,0.0462594123385667,-0.2699098412084448,0.3297334313392639,0.1817214339971542,0.4513778007251088,0.0802467685869239,0.9400493603786316,0.5101480644827779,0.0811015726141143,0.1376363649863074
HHDX011,resnet50,1,y,high,0.05,spatial_knn,top50_hvg,447,2400,50,0.0086318272362404,0.0054138997696093,-0.2599032650142908,0.6442622542381287,0.4197500348091125,0.4316862243480693,0.263755861971795,0.739244650556278,0.5015002562640366,0.2059737881847706,0.291481389172034
HHDX011,resnet50,1,y,high,0.05,spatial_knn,top200_hvg,447,2400,200,0.0103461512704831,0.0084923248077647,-0.1406043062801472,0.3687854409217834,0.1628346145153045,0.4588818615208891,0.0673418918435721,0.9335248453731656,0.5004333686083688,0.0530472512072257,0.1195715095171505
HHDX011,resnet50,1,y,high,0.05,spatial_knn,marker_hvg_overlap,447,2400,170,0.0085604479456045,0.0067370701865353,-0.1416572554886122,0.3789474070072174,0.1634383797645568,0.4707103501067359,0.0584693467410254,0.9419835405569412,0.5002264436489833,0.0479649889511714,0.1190910490974265
HHDX011,resnet50,1,y,high,0.1,train_mean,top50_hvg,895,2400,50,-4.329276734293272e-07,,-0.1059438497707015,0.5952413082122803,0.4093342423439026,0.4455920243536445,0.2,0.8,0.5,0.1303110242873007,0.2861083333333333
HHDX011,resnet50,1,y,high,0.1,train_mean,top200_hvg,895,2400,200,-9.580631096346393e-08,,-0.0348860207257621,0.3442979753017425,0.1593353897333145,0.4759271846006722,0.05,0.95,0.5,0.0325777560718251,0.1162083333333333
HHDX011,resnet50,1,y,high,0.1,train_mean,marker_hvg_overlap,895,2400,170,-3.0154404711639035e-08,,-0.0376609854383787,0.3539723455905914,0.1610835045576095,0.4861751829817795,0.0470588235294117,0.9529411764705882,0.5,0.0308748987669466,0.1163480392156862
HHDX011,resnet50,1,y,high,0.1,coordinate,top50_hvg,895,2400,50,-0.1166933863330632,-0.1171231566198331,-0.2774458093888824,0.6619228720664978,0.4547191262245178,0.4395614900785765,0.3052187303975123,0.6800672549525675,0.4926429926750398,0.1866744167002055,0.2485485115833999
HHDX011,resnet50,1,y,high,0.1,coordinate,top200_hvg,895,2400,200,-0.0381757911934105,-0.0387454877258345,-0.1031877174512192,0.3746144473552704,0.1790252476930618,0.4725506358405653,0.0763271545094904,0.919876148776505,0.4981016516429977,0.0467084448125015,0.107755794899655
HHDX011,resnet50,1,y,high,0.1,coordinate,marker_hvg_overlap,895,2400,170,-0.0341231262868617,-0.0348569820898588,-0.09720227661772,0.3830352127552032,0.1787118911743164,0.4822848656869537,0.0681322752811702,0.9305063472348676,0.4993193112580189,0.0426011542546234,0.1090550067783456
HHDX011,resnet50,1,y,high,0.1,image,top50_hvg,895,2400,50,0.163024864194449,0.1697045428050311,-0.1129718710761517,0.5039396286010742,0.3643801510334015,0.4654890935529041,0.2977165389609171,0.7865789047932313,0.5421477218770743,0.2898298120453408,0.3569419330900769
